========================================================================================
   RISOLUZIONE MDP E CAMMINATA OTTIMA (IN-PLACE): soluzioni/soluzione_ip_grid_3.txt
   Dimensioni Griglia: 30x30 | Start: (0,0) | Goal: (15,15)
========================================================================================

--- MATRICE DEI VALORI V* ('#'=Ostacolo) ---
   71.00    72.00    71.00    70.00    69.00    68.00    67.00    66.00    65.00    64.00    63.00    62.00    61.00    60.00    59.00    58.00    57.00    56.00    55.00    54.00    53.00    52.00    51.00    50.00    49.00    48.00    47.00    46.00    45.00    44.00 
  ^    ^    #    ^    #    ^    #    ^    #    ^    #    #    #    #    #    #    #    #    #    #    v    #    ^    #    ^    #    ^    #    ^    ^  
  ^    ^    #    ^    #    ^    #    ^    #    ^    <    <    <    <    <    <    <    <    <    <    <    #    ^    #    ^    #    ^    #    ^    ^  
  ^    ^    #    ^    #    ^    #    ^    #    #    #    #    #    #    #    #    #    #    #    #    #    #    v    #    ^    #    ^    #    ^    ^  
  ^    ^    #    ^    #    ^    #    ^    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    #    ^    #    ^    #    ^    ^  
  ^    ^    #    ^    #    ^    #    #    #    #    #    #    #    #    #    #    #    #    #    #    #    #    #    #    v    #    ^    #    ^    ^  
  ^    ^    #    ^    #    ^    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    #    ^    #    ^    ^  
  ^    ^    #    ^    #    #    #    #    #    #    #    #    #    #    #    #    #    #    #    #    #    #    #    #    #    #    v    #    ^    ^  
  ^    ^    #    ^    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    #    ^    ^  
  ^    ^    #    #    #    #    #    #    #    #    #    #    #    #    #    #    #    #    #    #    #    #    #    #    #    #    #    #    v    v  
  ^    ^    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <  
  ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    ^  

--- GRIGLIA CON PERCORSO ROBOT ('S'=Start, 'G'=Goal, '*'=Percorso, '#'=Ostacolo) ---
S . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
* . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
* . # # # # # # # # # # # # # # # # # # # # # # # # # # . . 
* * * * . . . . . . . . . . . . . . . . . . . . . . . # . . 
. . # * # # # # # # # # # # # # # # # # # # # # # # . # . . 
. . # * * * . . . . . . . . . . . . . . . . . . . # . # . . 
. . # . # * # # # # # # # # # # # # # # # # # # . # . # . . 
. . # . # * * * . . . . . . . . . . . . . . . # . # . # . . 
. . # . # . # * # # # # # # # # # # # # # # . # . # . # . . 
. . # . # . # * * * . . . . . . . . . . . # . # . # . # . . 
. . # . # . # . # * # # # # # # # # # # . # . # . # . # . . 
. . # . # . # . # * * * . . . . . . . # . # . # . # . # . . 
. . # . # . # . # . # * # # # # # # . # . # . # . # . # . . 
. . # . # . # . # . # * * * . . . # . # . # . # . # . # . . 
. . # . # . # . # . # . # * . . . # . # . # . # . # . # . . 
. . # . # . # . # . # . # * * G . # . # . # . # . # . # . . 
. . # . # . # . # . # . # . . . . # . # . # . # . # . # . . 
. . # . # . # . # . # . # # # # # # . # . # . # . # . # . . 
. . # . # . # . # . # . . . . . . . . # . # . # . # . # . . 
. . # . # . # . # . # # # # # # # # # # . # . # . # . # . . 
. . # . # . # . # . . . . . . . . . . . . # . # . # . # . . 
. . # . # . # . # # # # # # # # # # # # # # . # . # . # . . 
. . # . # . # . . . . . . . . . . . . . . . . # . # . # . . 
. . # . # . # # # # # # # # # # # # # # # # # # . # . # . . 
. . # . # . . . . . . . . . . . . . . . . . . . . # . # . . 
. . # . # # # # # # # # # # # # # # # # # # # # # # . # . . 
. . # . . . . . . . . . . . . . . . . . . . . . . . . # . . 
. . # # # # # # # # # # # # # # # # # # # # # # # # # # . . 
. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 

--- SEQUENZA COORDINATE DEL PERCORSO (30 passi, 31 celle) ---
(0,0) -> (1,0) -> (2,0) -> (3,0) -> (3,1) -> (3,2) -> (3,3) -> (4,3) -> (5,3) -> (5,4) -> 
(5,5) -> (6,5) -> (7,5) -> (7,6) -> (7,7) -> (8,7) -> (9,7) -> (9,8) -> (9,9) -> (10,9) -> 
(11,9) -> (11,10) -> (11,11) -> (12,11) -> (13,11) -> (13,12) -> (13,13) -> (14,13) -> (15,13) -> (15,14) -> 
(15,15)
